PlayerId	PlayerData	DateBirthday	StartDate	EndDate	Description	TeamName
38530	Nani	1986-11-17 00:00:00.000	2013-12-21 00:00:00.000	2014-02-25 00:00:00.000	Hamstring Injury	MANU
41184	M. Fellaini	1987-11-22 00:00:00.000	2013-12-23 00:00:00.000	2014-02-10 00:00:00.000	Wirst injury	MANU
41792	A. Ramsey	1990-12-26 00:00:00.000	2013-12-26 00:00:00.000	2014-04-03 00:00:00.000	Thigh Muscle Strain	ARSL
76359	P. Jones	1992-02-21 00:00:00.000	2013-12-26 00:00:00.000	2014-01-06 00:00:00.000	Knee injury	MANU
37605	M. Özil	1988-10-15 00:00:00.000	2013-12-30 00:00:00.000	2014-01-02 00:00:00.000	Shoulder injury	ARSL
41135	B. Ivanović	1984-02-22 00:00:00.000	2013-12-30 00:00:00.000	2014-01-15 00:00:00.000	Knee injury	CFC
42427	K. Gibbs	1989-09-26 00:00:00.000	2013-12-30 00:00:00.000	2014-01-13 00:00:00.000	Calf Problems	ARSL
2051	F. Lampard	1978-06-20 00:00:00.000	2014-01-02 00:00:00.000	2014-01-17 00:00:00.000	Muscle Injury	CFC
13017	W. Rooney	1985-10-24 00:00:00.000	2014-01-02 00:00:00.000	2014-01-23 00:00:00.000	groin strain	MANU
27697	N. Bendtner	1988-01-16 00:00:00.000	2014-01-02 00:00:00.000	2014-01-20 00:00:00.000	Sprained ankle	ARSL
15943	T. Vermaelen	1985-11-14 00:00:00.000	2014-01-06 00:00:00.000	2014-02-27 00:00:00.000	Knee Problems	ARSL
20467	T. Walcott	1989-03-16 00:00:00.000	2014-01-06 00:00:00.000	2014-10-13 00:00:00.000	Cruciate Ligament Rupture	ARSL
14402	Fernando Torres	1984-03-20 00:00:00.000	2014-01-30 00:00:00.000	2014-02-10 00:00:00.000	Minor wound	CFC
37642	J. Evans	1988-01-03 00:00:00.000	2014-02-02 00:00:00.000	2014-04-15 00:00:00.000	Calf Injury	MANU
14985	K. Källström	1982-08-24 00:00:00.000	2014-02-03 00:00:00.000	2014-02-24 00:00:00.000	Back trouble	ARSL
76359	P. Jones	1992-02-21 00:00:00.000	2014-02-17 00:00:00.000	2014-03-06 00:00:00.000	Concussion	MANU
41270	David Luiz	1987-04-22 00:00:00.000	2014-02-18 00:00:00.000	2014-02-27 00:00:00.000	Hip problems	CFC
37605	M. Özil	1988-10-15 00:00:00.000	2014-02-20 00:00:00.000	2014-02-27 00:00:00.000	thigh knock	ARSL
54102	J. Wilshere	1992-01-01 00:00:00.000	2014-03-05 00:00:00.000	2014-05-01 00:00:00.000	Hairline crack in the foot	ARSL
41270	David Luiz	1987-04-22 00:00:00.000	2014-03-06 00:00:00.000	2014-03-17 00:00:00.000	Hip problems	CFC
37605	M. Özil	1988-10-15 00:00:00.000	2014-03-13 00:00:00.000	2014-04-14 00:00:00.000	Hamstring Injury	ARSL
92372	Ryo Miyaichi	1992-12-14 00:00:00.000	2014-03-17 00:00:00.000	2014-11-17 00:00:00.000	Thigh Muscle Strain	ARSL
12297	R. Van Persie	1983-08-06 00:00:00.000	2014-03-20 00:00:00.000	2014-04-24 00:00:00.000	Knee injury	MANU
51507	L. Koscielny	1985-09-10 00:00:00.000	2014-03-24 00:00:00.000	2014-04-14 00:00:00.000	Calf Problems	ARSL
27697	N. Bendtner	1988-01-16 00:00:00.000	2014-04-03 00:00:00.000	2014-04-28 00:00:00.000	Muscle fibre	ARSL
NULL	N. Anelka	1979-03-14 00:00:00.000	2014-04-03 00:00:00.000	2014-04-07 00:00:00.000	Arm injury	CFC
133798	S. Gnabry	1995-07-14 00:00:00.000	2014-04-03 00:00:00.000	2014-05-19 00:00:00.000	Knee injury	ARSL
NULL	N. Anelka	1979-03-14 00:00:00.000	2014-04-17 00:00:00.000	2014-04-21 00:00:00.000	Adductor problems	CFC
1718	J. Terry	1980-12-07 00:00:00.000	2014-04-21 00:00:00.000	2014-05-01 00:00:00.000	Ankle injury	CFC
81880	A. Oxlade-Chamberlain	1993-08-15 00:00:00.000	2014-04-24 00:00:00.000	2014-05-26 00:00:00.000	Groin Injury	ARSL
11334	P. Čech	1982-05-20 00:00:00.000	2014-04-24 00:00:00.000	2014-07-17 00:00:00.000	Shoulder injury	CFC
76359	P. Jones	1992-02-21 00:00:00.000	2014-05-05 00:00:00.000	2014-06-23 00:00:00.000	Shoulder injury	MANU
15943	T. Vermaelen	1985-11-14 00:00:00.000	2014-05-12 00:00:00.000	2014-05-15 00:00:00.000	Knee injury	ARSL
133798	S. Gnabry	1995-07-14 00:00:00.000	2014-05-19 00:00:00.000	2014-10-16 00:00:00.000	Knee inflammation 	ARSL
81880	A. Oxlade-Chamberlain	1993-08-15 00:00:00.000	2014-06-05 00:00:00.000	2014-07-14 00:00:00.000	Knee injury	ARSL
17733	L. Podolski	1985-06-04 00:00:00.000	2014-06-30 00:00:00.000	2014-06-30 00:00:00.000	Muscular problems	ARSL
92372	Ryo Miyaichi	1992-12-14 00:00:00.000	2014-07-01 00:00:00.000	2014-09-01 00:00:00.000	Malleolar injury	ARSL
2404	M. Carrick	1981-07-28 00:00:00.000	2014-07-17 00:00:00.000	2014-10-02 00:00:00.000	Malleolar injury	MANU
112139	J. Wilson	1995-12-01 00:00:00.000	2014-07-17 00:00:00.000	2014-07-31 00:00:00.000	Fractured Thumb	MANU
54772	Rafael	1990-07-09 00:00:00.000	2014-07-24 00:00:00.000	2014-09-11 00:00:00.000	Groin Injury	MANU
48844	D. Ospina	1988-08-31 00:00:00.000	2014-07-27 00:00:00.000	2014-08-29 00:00:00.000	Thigh problems	ARSL
80711	Y. Sanogo	1993-01-27 00:00:00.000	2014-07-28 00:00:00.000	2014-11-12 00:00:00.000	Hamstring Injury	ARSL
NULL	N. Anelka	1979-03-14 00:00:00.000	2014-07-31 00:00:00.000	2014-08-14 00:00:00.000	Training deficit	CFC
28566	A. Diaby	1986-05-11 00:00:00.000	2014-08-05 00:00:00.000	2014-08-25 00:00:00.000	Unknown Injury	ARSL
106760	L. Shaw	1995-07-12 00:00:00.000	2014-08-07 00:00:00.000	2014-09-11 00:00:00.000	Hamstring Injury	MANU
109322	Jesse Lingard	1992-12-15 00:00:00.000	2014-08-16 00:00:00.000	2014-12-08 00:00:00.000	Knee injury	MANU
42427	K. Gibbs	1989-09-26 00:00:00.000	2014-08-17 00:00:00.000	2014-09-02 00:00:00.000	Thigh problems	ARSL
8758	Mikel Arteta	1982-03-26 00:00:00.000	2014-08-20 00:00:00.000	2014-09-10 00:00:00.000	Malleolar injury	ARSL
41184	M. Fellaini	1987-11-22 00:00:00.000	2014-08-21 00:00:00.000	2014-09-29 00:00:00.000	Malleolar injury	MANU
59846	Ander Herrera 	1989-08-14 00:00:00.000	2014-08-21 00:00:00.000	2014-09-15 00:00:00.000	Malleolar injury	MANU
20467	T. Walcott	1989-03-16 00:00:00.000	2014-08-23 00:00:00.000	2014-09-17 00:00:00.000	Unknown Injury	ARSL
44346	O. Giroud	1986-09-30 00:00:00.000	2014-08-25 00:00:00.000	2014-11-17 00:00:00.000	Fractured foot	ARSL
126184	N. Ake	1995-02-18 00:00:00.000	2014-09-01 00:00:00.000	2014-09-11 00:00:00.000	Ankle problems	CFC
112139	J. Wilson	1995-12-01 00:00:00.000	2014-09-08 00:00:00.000	2014-10-02 00:00:00.000	Bruised foot	MANU
76359	P. Jones	1992-02-21 00:00:00.000	2014-09-08 00:00:00.000	2014-10-06 00:00:00.000	Hamstring Injury	MANU
18892	A. Young	1985-07-09 00:00:00.000	2014-09-11 00:00:00.000	2014-10-20 00:00:00.000	Groin Injury	MANU
12303	D. Drogba	1978-03-11 00:00:00.000	2014-09-12 00:00:00.000	2014-09-14 00:00:00.000	Malleolar injury	CFC
38411	Nacho Monreal	1986-02-26 00:00:00.000	2014-09-15 00:00:00.000	2014-10-02 00:00:00.000	Back trouble	ARSL
27334	M. Debuchy	1985-07-28 00:00:00.000	2014-09-15 00:00:00.000	2014-12-08 00:00:00.000	Ruptured sideband in the ankle	ARSL
53392	Ramires	1987-03-24 00:00:00.000	2014-09-22 00:00:00.000	2014-10-20 00:00:00.000	Tear in the abductor muscle	CFC
27697	N. Bendtner	1988-01-16 00:00:00.000	2014-09-22 00:00:00.000	2014-11-06 00:00:00.000	Heel pain	ARSL
37642	J. Evans	1988-01-03 00:00:00.000	2014-09-22 00:00:00.000	2014-12-08 00:00:00.000	Malleolar injury	MANU
28566	A. Diaby	1986-05-11 00:00:00.000	2014-09-24 00:00:00.000	2015-06-30 00:00:00.000	Calf Injury	ARSL
55909	C. Smalling	1989-11-22 00:00:00.000	2014-09-25 00:00:00.000	2014-10-06 00:00:00.000	Hamstring Injury	MANU
8758	Mikel Arteta	1982-03-26 00:00:00.000	2014-09-27 00:00:00.000	2014-10-06 00:00:00.000	Calf Problems	ARSL
59846	Ander Herrera 	1989-08-14 00:00:00.000	2014-09-29 00:00:00.000	2014-10-20 00:00:00.000	Fractured Rib	MANU
41792	A. Ramsey	1990-12-26 00:00:00.000	2014-09-29 00:00:00.000	2014-10-16 00:00:00.000	Hamstring Injury	ARSL
12303	D. Drogba	1978-03-11 00:00:00.000	2014-09-29 00:00:00.000	2014-10-20 00:00:00.000	Malleolar injury	CFC
160817	P. McNair	1995-04-27 00:00:00.000	2014-10-05 00:00:00.000	2014-10-26 00:00:00.000	Hamstring Injury	MANU
66842	A. Schürrle	1990-11-06 00:00:00.000	2014-10-06 00:00:00.000	2014-10-09 00:00:00.000	Minor wound	CFC
20695	A. Valencia	1985-08-04 00:00:00.000	2014-10-06 00:00:00.000	2014-10-27 00:00:00.000	Hamstring Injury	MANU
37605	M. Özil	1988-10-15 00:00:00.000	2014-10-06 00:00:00.000	2015-01-05 00:00:00.000	Ruptured knee ligament	ARSL
51507	L. Koscielny	1985-09-10 00:00:00.000	2014-10-09 00:00:00.000	2014-11-24 00:00:00.000	Achilles tendon problems	ARSL
48844	D. Ospina	1988-08-31 00:00:00.000	2014-10-09 00:00:00.000	2014-12-26 00:00:00.000	Hip injury	ARSL
66842	A. Schürrle	1990-11-06 00:00:00.000	2014-10-13 00:00:00.000	2014-10-20 00:00:00.000	Influenza	CFC
38419	L. Rémy	1987-01-02 00:00:00.000	2014-10-21 00:00:00.000	2014-11-22 00:00:00.000	Groin Injury	CFC
76359	P. Jones	1992-02-21 00:00:00.000	2014-10-23 00:00:00.000	2014-12-11 00:00:00.000	Shinbone injury	MANU
54772	Rafael	1990-07-09 00:00:00.000	2014-10-30 00:00:00.000	2014-12-08 00:00:00.000	Hairline crack in calfbone	MANU
58893	M. Rojo	1990-03-20 00:00:00.000	2014-11-03 00:00:00.000	2014-11-27 00:00:00.000	Shoulder injury	MANU
8758	Mikel Arteta	1982-03-26 00:00:00.000	2014-11-06 00:00:00.000	2014-11-20 00:00:00.000	Thigh Muscle Strain	ARSL
12297	R. Van Persie	1983-08-06 00:00:00.000	2014-11-10 00:00:00.000	2014-11-13 00:00:00.000	Thigh problems	MANU
2404	M. Carrick	1981-07-28 00:00:00.000	2014-11-13 00:00:00.000	2014-11-20 00:00:00.000	groin strain	MANU
126184	N. Ake	1995-02-18 00:00:00.000	2014-11-14 00:00:00.000	2014-12-19 00:00:00.000	Hamstring Injury	CFC
51940	De Gea	1990-11-07 00:00:00.000	2014-11-19 00:00:00.000	2014-11-20 00:00:00.000	Finger Injury	MANU
58877	D. Blind	1990-03-09 00:00:00.000	2014-11-19 00:00:00.000	2015-01-09 00:00:00.000	Knee injury	MANU
20467	T. Walcott	1989-03-16 00:00:00.000	2014-11-20 00:00:00.000	2014-12-18 00:00:00.000	groin strain	ARSL
