"","Player","PlayerBirthdate","Competition","Date","HomeTeam","AwayTeam","HomeScore","AwayScore","Team","StartingPosition","EnterMinute","ExitMinute","PlayerID","PlayerFirstName","PlayerSurname","PlayerNationality","PlayerBirthCountry","RestPeriod","Rest","PlayerId","StartDate","EndDate","Description","TeamName","InjuryType","Duration","PriorInjury","Occurrence"
"30","J. Obi Mikel",1987-04-22,"EnglandPremierLeague",2012-12-26,"Norwich City","Chelsea",0,1,"Chelsea","DM-CR","0","74",2536,"John Michael","Nchekwube Obinna","Nigeria","Nigeria",21,"Long Rest","28495",2012-12-26,2013-01-02,"Knee injury","CFC","Soft Injury",7,"No"," Current Match"
"31","J. Terry",1980-12-07,"UEFAChampionsLeague",2014-04-22,"Atlético Madrid","Chelsea",0,0,"Chelsea","D1-CL","0","73",181,"John","Terry","England","England",3,"Short Rest","1718",2014-04-21,2014-05-01,"Ankle injury","CFC","Soft Injury",10,"Yes","Previous Match"
"32","J. Terry",1980-12-07,"UEFAChampionsLeague",2014-04-30,"Chelsea","Atlético Madrid",1,3,"Chelsea","D1-CL","0","",181,"John","Terry","England","England",8,"Long Rest","1718",2014-04-21,2014-05-01,"Ankle injury","CFC","Soft Injury",10,"Yes","Previous Match"
"33","J. Wilshere",1992-01-01,"EnglandPremierLeague",2014-11-22,"Arsenal","Manchester United",1,2,"Arsenal","AM-C","0","55",61075,"Jack","Wilshere","England","England",13,"Long Rest","54102",2014-11-22,2015-02-20,"Malleolar injury","ARSL","Contact Injury",90,"No"," Current Match"
"34","K. Gibbs",1989-09-26,"EnglandPremierLeague",2012-10-06,"West Ham United","Arsenal",1,3,"Arsenal","D1-L","0","56",26204,"Kieran","Gibbs","England","England",3,"Short Rest","42427",2012-10-06,2012-11-24,"Thigh problems","ARSL","Soft Injury",49,"No"," Current Match"
"35","K. Gibbs",1989-09-26,"UEFAChampionsLeague",2012-11-21,"Arsenal","Montpellier",2,0,"Arsenal","","","",26204,"Kieran","Gibbs","England","England",46,"Long Rest","42427",2012-10-06,2012-11-24,"Thigh problems","ARSL","Soft Injury",49,"Yes","Previous Match"
"36","K. Gibbs",1989-09-26,"EnglandPremierLeague",2012-11-24,"Aston Villa","Arsenal",0,0,"Arsenal","D2-L","0","",26204,"Kieran","Gibbs","England","England",3,"Short Rest","42427",2012-10-06,2012-11-24,"Thigh problems","ARSL","Soft Injury",49,"Yes","Previous Match"
"37","K. Gibbs",1989-09-26,"EnglandPremierLeague",2013-01-30,"Arsenal","Liverpool",2,2,"Arsenal","D1-L","0","37",26204,"Kieran","Gibbs","England","England",7,"Long Rest","42427",2013-01-30,2013-03-11,"Thigh Muscle Strain","ARSL","Soft Injury",40,"No"," Current Match"
"38","K. Gibbs",1989-09-26,"EnglandPremierLeague",2014-01-13,"Aston Villa","Arsenal",1,2,"Arsenal","","66","",26204,"Kieran","Gibbs","England","England",15,"Long Rest","42427",2013-12-30,2014-01-13,"Calf Problems","ARSL","Soft Injury",14,"Yes","Previous Match"
"39","L. Koscielny",1985-09-10,"EnglandPremierLeague",2012-11-03,"Manchester United","Arsenal",2,1,"Arsenal","","","",37785,"Laurent","Koscielny","France","France",7,"Long Rest","51507",2012-10-29,2012-12-13,"Thigh problems","ARSL","Soft Injury",45,"Yes","Previous Match"
"40","L. Koscielny",1985-09-10,"UEFAChampionsLeague",2012-11-06,"Schalke 04","Arsenal",2,2,"Arsenal","D1-CR","0","",37785,"Laurent","Koscielny","France","France",3,"Short Rest","51507",2012-10-29,2012-12-13,"Thigh problems","ARSL","Soft Injury",45,"Yes","Previous Match"
"41","L. Koscielny",1985-09-10,"EnglandPremierLeague",2012-11-10,"Arsenal","Fulham",3,3,"Arsenal","D2-CL","0","",37785,"Laurent","Koscielny","France","France",4,"Short Rest","51507",2012-10-29,2012-12-13,"Thigh problems","ARSL","Soft Injury",45,"Yes","Previous Match"
